发送日期,发送时间,发送年份,时间位置,出现时间秒,弹幕内容,用户ID,弹幕颜色,颜色代码,弹幕模式,字体大小,弹幕长度
2025/5/16,17:48:41,2025,16:13,973.78,up快说吧，我都替芳若姑姑着急,ef0fbaf2...,白色,#FFFFFF,滚动弹幕,正常,15
2025/5/15,0:24:52,2025,13:06,786.51,眉眉是天秤座？,7029f611...,白色,#FFFFFF,滚动弹幕,正常,7
2025/5/14,15:23:46,2025,2:13,133.4,5,c0059cd1...,白色,#FFFFFF,滚动弹幕,正常,1
2025/5/14,14:55:46,2025,15:11,911.2,眉儿很聪明，但气节风骨最后让她的结局实在唏嘘,3eee5851...,白色,#FFFFFF,滚动弹幕,正常,22
2025/5/14,13:55:11,2025,4:00,240.59,山东眉姐姐身高真不是盖的,1875396a...,白色,#FFFFFF,滚动弹幕,正常,12
2025/5/14,12:36:24,2025,2:16,136.59,5,940a1cc1...,白色,#FFFFFF,滚动弹幕,正常,1
2025/5/13,22:10:41,2025,0:07,7.25,好诗！,daf1a3b1...,白色,#FFFFFF,滚动弹幕,正常,3
2025/5/13,12:13:05,2025,16:09,969.73,家室不好就直接杀了,945a39ca...,白色,#FFFFFF,滚动弹幕,正常,9
2025/5/13,12:09:43,2025,13:08,788.85,上赶着共情皇帝招笑,945a39ca...,白色,#FFFFFF,滚动弹幕,正常,9
2025/5/13,12:09:15,2025,13:02,782.54,谁在共情皇帝啊，太爱男了,945a39ca...,白色,#FFFFFF,滚动弹幕,正常,12
2025/5/13,12:08:56,2025,12:54,774.46,惩治她，禁足，皇帝也可以让下人不那么作践她，可皇帝就是故意授意的,945a39ca...,白色,#FFFFFF,滚动弹幕,正常,32
2025/5/13,12:00:53,2025,3:20,200.98,眉庄被禁足物资短缺还生病，谁不恨胖橘,945a39ca...,白色,#FFFFFF,滚动弹幕,正常,18
2025/5/13,11:58:34,2025,1:18,78.74,占前排的重要性,945a39ca...,白色,#FFFFFF,滚动弹幕,正常,7
2025/5/12,20:48:35,2025,0:34,34.67,旁边的侍卫叹了口气，wei,870cb0f9...,白色,#FFFFFF,滚动弹幕,正常,13
2025/5/12,18:11:28,2025,3:44,224.64,有点像幽会,ef34399d...,白色,#FFFFFF,滚动弹幕,正常,5
2025/4/29,22:18:26,2025,5:06,306.81,你也没放过我。,f49cb058...,白色,#FFFFFF,滚动弹幕,正常,7
2025/4/27,15:16:30,2025,14:17,857.22,难说,65bc1043...,白色,#FFFFFF,滚动弹幕,正常,2
